ㄅㄚ	ba
ㄋㄢˋ	nan4
ㄋㄣˇ	nen3
ㄋㄣˋ	nen4
ㄋㄤ	nang
ㄋㄤˊ	nang2
ㄋㄤˇ	nang3
ㄋㄤˋ	nang4
˙ㄋㄤ	nang5
ㄋㄥˊ	neng2
ㄋㄥˇ	neng3
ㄋㄧ	ni
ㄋㄧˊ	ni2
ㄋㄧˇ	ni3
ㄋㄧˋ	ni4
ㄋㄧㄝ	nie
ㄋㄧㄝˊ	nie2
ㄋㄧㄝˋ	nie4
ㄋㄧㄠˇ	niao3
ㄋㄧㄠˋ	niao4
ㄋㄧㄡ	niu
ㄋㄧㄡˊ	niu2
ㄋㄧㄡˇ	niu3
ㄋㄧㄡˋ	niu4
ㄋㄧㄢ	nian
ㄋㄧㄢˊ	nian2
ㄋㄧㄢˇ	nian3
ㄋㄧㄢˋ	nian4
ㄋㄧㄣ	nin
ㄋㄧㄣˊ	nin2
ㄋㄧㄣˇ	nin3
ㄋㄧㄣˋ	nin4
ㄋㄧㄤˊ	niang2
ㄋㄧㄤˇ	niang3
ㄋㄧㄤˋ	niang4
ㄋㄧㄥˊ	ning2
ㄋㄧㄥˇ	ning3
ㄋㄧㄥˋ	ning4
ㄋㄨˊ	nu2
ㄋㄨˇ	nu3
ㄋㄨˋ	nu4
ㄋㄨㄛˊ	nuo2
ㄋㄨㄛˇ	nuo3
ㄋㄨㄛˋ	nuo4
ㄋㄨㄟˊ	nui2
ㄋㄨㄢˊ	nuan2
ㄋㄨㄢˇ	nuan3
ㄋㄨㄢˋ	nuan4
ㄋㄨㄣˊ	nun2
ㄋㄨㄥˊ	nong2
ㄋㄨㄥˇ	nong3
ㄋㄨㄥˋ	nong4
ㄋㄩˊ	nv2
ㄋㄩˇ	nv3
ㄋㄩˋ	nv4
ㄋㄩㄝˋ	nve4
ㄌㄚ	la
ㄌㄚˊ	la2
ㄌㄚˇ	la3
ㄌㄚˋ	la4
˙ㄌㄚ	la5
ㄌㄛ	lo
˙ㄌㄛ	lo5
ㄌㄜ	le
ㄌㄜˊ	le2
ㄌㄜˋ	le4
˙ㄌㄜ	le5
ㄌㄞˊ	lai2
ㄌㄞˇ	lai3
ㄌㄞˋ	lai4
ㄌㄟ	lei
ㄌㄟˊ	lei2
ㄌㄟˇ	lei3
ㄌㄟˋ	lei4
˙ㄌㄟ	lei5
ㄌㄠ	lao
ㄌㄠˊ	lao2
ㄌㄠˇ	lao3
ㄌㄠˋ	lao4
ㄌㄡ	lou
ㄌㄡˊ	lou2
ㄌㄡˇ	lou3
ㄌㄡˋ	lou4
˙ㄌㄡ	lou5
ㄌㄢˊ	lan2
ㄌㄢˇ	lan3
ㄌㄢˋ	lan4
ㄌㄤ	lang
ㄌㄤˊ	lang2
ㄌㄤˇ	lang3
ㄌㄤˋ	lang4
ㄌㄥ	leng
ㄌㄥˊ	leng2
ㄌㄥˇ	leng3
ㄌㄥˋ	leng4
ㄌㄧ	li
ㄌㄧˊ	li2
ㄌㄧˇ	li3
ㄌㄧˋ	li4
˙ㄌㄧ	li5
ㄌㄧㄚˇ	lia3
ㄌㄧㄝ	lie
ㄌㄧㄝˊ	lie2
ㄌㄧㄝˇ	lie3
ㄌㄧㄝˋ	lie4
ㄌㄧㄠ	liao
ㄌㄧㄠˊ	liao2
ㄌㄧㄠˇ	liao3
ㄌㄧㄠˋ	liao4
ㄌㄧㄡ	liu
ㄌㄧㄡˊ	liu2
ㄌㄧㄡˇ	liu3
ㄌㄧㄡˋ	liu4
ㄌㄧㄢ	lian
ㄌㄧㄢˊ	lian2
ㄌㄧㄢˇ	lian3
ㄌㄧㄢˋ	lian4
ㄌㄧㄣˊ	lin2
ㄌㄧㄣˇ	lin3
ㄌㄧㄣˋ	lin4
ㄌㄧㄤˊ	liang2
ㄌㄧㄤˇ	liang3
ㄌㄧㄤˋ	liang4
ㄌㄧㄥ	ling
ㄌㄧㄥˊ	ling2
ㄌㄧㄥˇ	ling3
ㄌㄧㄥˋ	ling4
ㄌㄨ	lu
ㄌㄨˊ	lu2
ㄌㄨˇ	lu3
ㄌㄨˋ	lu4
ㄌㄨㄛ	luo
ㄌㄨㄛˊ	luo2
ㄌㄨㄛˇ	luo3
ㄌㄨㄛˋ	luo4
˙ㄌㄨㄛ	luo5
ㄌㄨㄢˊ	luan2
ㄌㄨㄢˇ	luan3
ㄌㄨㄢˋ	luan4
ㄌㄨㄣ	lun
ㄌㄨㄣˊ	lun2
ㄌㄨㄣˇ	lun3
ㄌㄨㄣˋ	lun4
ㄌㄨㄥ	long
ㄌㄨㄥˊ	long2
ㄌㄨㄥˇ	long3
ㄌㄨㄥˋ	long4
ㄌㄩ	lv
ㄌㄩˊ	lv2
ㄌㄩˇ	lv3
ㄌㄩˋ	lv4
ㄌㄩㄝ	lve
ㄌㄩㄝˇ	lve3
ㄌㄩㄝˋ	lve4
ㄌㄩㄢˊ	lvan2
ㄌㄩㄢˇ	lvan3
ㄍㄚ	ga
ㄍㄚˊ	ga2
ㄍㄚˇ	ga3
ㄍㄚˋ	ga4
˙ㄍㄚ	ga5
ㄍㄜ	ge
ㄍㄜˊ	ge2
ㄍㄜˇ	ge3
ㄍㄜˋ	ge4
˙ㄍㄜ	ge5
ㄍㄞ	gai
ㄍㄞˇ	gai3
ㄍㄞˋ	gai4
ㄍㄟˇ	gei3
ㄍㄠ	gao
ㄍㄠˇ	gao3
